As_of_Year,Respondent_ID,Agency_Code,Respondent_Name_TS,Respondent_City_TS,Respondent_State_TS,Respondent_ZIP_Code,Parent_Name_TS,Parent_City_TS,Parent_State_TS,Parent_ZIP_Code,Assets_000_Panel
2012,43-0951349,7,PARAMOUNT MORTGAGE COMPANY,ST LOUIS,MO,63141,,,,,29655
2012,43-1536603,7,MORTGAGE RESOURCES INC.,CHESTERFIELD,MO,63017,,,,,10000
2012,43-1901144,7,JLB CORPORATION,SAINT LOUIS,MO,63146,,,,,12988
2012,43-1918759,7,"DAS ACQUISITION COMPANY, LLC",SAINT LOUIS,MO,63141,,,,,37000
2012,43-1965151,7,MORTGAGE RESEARCH CENTER,COLUMBIA,MO,65203,,,,,880000
2012,45-0703991,7,GENCOR MORTGAGE INC,SCOTTSDALE,AZ,85260,,,,,23936
2012,45-3307616,7,BEXIL AMERICAN MORTGAGE INC.,SAN DIEGO,CA,92121,,,,,0
2012,45-3508295,7,BERKELEY POINT CAPITAL,BOSTON,MA,01906,,,,,10000
2012,47-0376012,7,FARM CREDIT SERVICES OF AMERIC,OMAHA,NE,68137,,,,,10000
2012,47-0873092,7,NETWORK CAPITAL FUNDING CORP,IRVINE,CA,92614,,,,,52388
2012,47-0912342,7,PARAMOUNT EQUITY MORTGAGE,ROSEVILLE,CA,95661,,,,,10000
2012,47-0933090,7,WINDERMERE MTG SVCS SERIES LLC,SEATTLE,WA,98101-1378,,,,,8526
2012,4725909994,7,MIDLAND MORTGAGE CORPORATION,COLUMBIA,SC,29201,,,,,10000
2012,48-0893828,7,"FIRSTRUST MORTGAGE, INC",OVERLAND PARK,KS,66209,,,,,6198
2012,48-1085084,7,"MORTGAGES UNLIMITED, INC",LIBERAL,KS,67901,,,,,10000
2012,48-1148159,7,LEADERONE FINANCIAL CORPORATIO,OVERLAND PARK,KS,66210,,,,,100000
2012,48-1236121,7,MORTGAGE LENDERS OF AMERICA,OVERLAND PARK,KS,66210,,,,,10000
2012,51-0370645,7,PIKE CREEK MORTGAGE SERVICES,NEWARK,DE,19711,,,,,13868
